"Country","% Cognitive and/or behavioral"
"Albania","10"
"Algeria","3"
"Argentina","10"
"Armenia","NOT KNOWN"
"Australia","NOT KNOWN"
"Austria","NOT KNOWN"
"Bahrain","NOT KNOWN"
"Bangladesh","NOT KNOWN"
"Belgium","2"
"Bolivia","7"
"Bosnia and Herzegovina","27"
"Brazil","NOT KNOWN"
"Bulgaria","NOT KNOWN"
"Cameroon","NOT KNOWN"
"Canada","5"
"China","20"
"Colombia","NOT KNOWN"
"Costa Rica","60"
"Cote d'Ivoire","NOT KNOWN"
"Cuba","NOT KNOWN"
"Croatia","15"
"Cyprus","2"
"Czech Republic","NOT KNOWN"
"Democratic Republic of the Congo","100"
"Denmark","2"
"Dominican Republic","NOT KNOWN"
"Ecuador","NOT KNOWN"
"Egypt","12"
"Estonia","NOT KNOWN"
"Ethiopia","NOT KNOWN"
"Finland","NOT KNOWN"
"France","1"
"Germany","35.5"
"Ghana","5"
"Greece","40"
"Guatemala","5"
"Guinea","NOT KNOWN"
"Hungary","5"
"Iceland","2"
"India","2"
"Indonesia","10"
"Iran","NOT KNOWN"
"Iraq","NOT KNOWN"
"Ireland","2"
"Israel","NOT KNOWN"
"Italy","3"
"Japan","NOT KNOWN"
"Jordan","25"
"Kenya","NOT KNOWN"
"Kuwait","50"
"Latvia","NOT KNOWN"
"Lebanon","1"
"Libya","30"
"Liechtenstein","0"
"Lithuania","60"
"Luxembourg","NOT KNOWN"
"Malawi","NOT KNOWN"
"Malaysia","NOT KNOWN"
"Malta","NOT KNOWN"
"Mexico","NOT KNOWN"
"Moldova","NOT KNOWN"
"Mongolia","2"
"Montenegro","15"
"Morocco","NOT KNOWN"
"Myanmar","5"
"Netherlands","2"
"Nicaragua","1"
"New Zealand","NOT KNOWN"
"Nigeria","30"
"Norway","NOT KNOWN"
"Oman","7"
"Pakistan","10"
"Palestinian Authority","20"
"Panama","35"
"Paraguay","25"
"Peru","4"
"Poland","NOT KNOWN"
"Portugal","NOT KNOWN"
"Qatar","NOT KNOWN"
"Republic of Korea","5"
"Romania","5"
"Russia","80"
"San Marino","5"
"Saudi Arabia","5"
"Serbia","NOT KNOWN"
"Singapore","1"
"Slovenia","40"
"South Africa","10"
"Spain","NOT KNOWN"
"Sri Lanka",""
"Sweden","NOT KNOWN"
"Switzerland","80"
"Taiwan","7"
"Thailand","1"
"Macedonia","70"
"Tunisia","NOT KNOWN"
"Turkey","NOT KNOWN"
"United Arab Emirates","2"
"United Kingdom","5"
"United States","60"
"Uruguay","10"
"Venezuela","26"
"Yemen","NOT KNOWN"
"Zambia","45"
"Zimbabwe","NOT KNOWN"
