"Country","% Pain"
"Albania","10"
"Algeria","11"
"Argentina","24"
"Armenia","NOT KNOWN"
"Australia","NOT KNOWN"
"Austria","NOT KNOWN"
"Bahrain","NOT KNOWN"
"Bangladesh","NOT KNOWN"
"Belgium","2"
"Bolivia","30"
"Bosnia and Herzegovina","18"
"Brazil","NOT KNOWN"
"Bulgaria","NOT KNOWN"
"Cameroon","30"
"Canada","5"
"China","10"
"Colombia","NOT KNOWN"
"Costa Rica","NOT KNOWN"
"Cote d'Ivoire","NOT KNOWN"
"Cuba","NOT KNOWN"
"Croatia","NOT KNOWN"
"Cyprus","5"
"Czech Republic","NOT KNOWN"
"Democratic Republic of the Congo","100"
"Denmark","NOT KNOWN"
"Dominican Republic","NOT KNOWN"
"Ecuador","NOT KNOWN"
"Egypt","NOT KNOWN"
"Estonia","NOT KNOWN"
"Ethiopia","NOT KNOWN"
"Finland","NOT KNOWN"
"France","4"
"Germany","36"
"Ghana","5"
"Greece","15"
"Guatemala","15"
"Guinea","NOT KNOWN"
"Hungary","20"
"Iceland","2"
"India","0"
"Indonesia","70"
"Iran","NOT KNOWN"
"Iraq","NOT KNOWN"
"Ireland","2"
"Israel","NOT KNOWN"
"Italy","1"
"Japan","30"
"Jordan","10"
"Kenya","NOT KNOWN"
"Kuwait","40"
"Latvia","NOT KNOWN"
"Lebanon","NOT KNOWN"
"Libya","20"
"Liechtenstein","5"
"Lithuania","20"
"Luxembourg","NOT KNOWN"
"Malawi","NOT KNOWN"
"Malaysia","NOT KNOWN"
"Malta","NOT KNOWN"
"Mexico","NOT KNOWN"
"Moldova","NOT KNOWN"
"Mongolia","40"
"Montenegro","20"
"Morocco","NOT KNOWN"
"Myanmar","NOT KNOWN"
"Netherlands","2"
"Nicaragua","3"
"New Zealand","NOT KNOWN"
"Nigeria","20"
"Norway","NOT KNOWN"
"Oman","1"
"Pakistan","25"
"Palestinian Authority","25"
"Panama","NOT KNOWN"
"Paraguay","28"
"Peru","NOT KNOWN"
"Poland","NOT KNOWN"
"Portugal","NOT KNOWN"
"Qatar","NOT KNOWN"
"Republic of Korea","30"
"Romania","3"
"Russia","20"
"San Marino","2.5"
"Saudi Arabia","5"
"Serbia","20"
"Singapore","2"
"Slovenia","20"
"South Africa","5"
"Spain","NOT KNOWN"
"Sri Lanka",""
"Sweden","NOT KNOWN"
"Switzerland","70"
"Taiwan","27.9"
"Thailand","13"
"Macedonia","1"
"Tunisia","NOT KNOWN"
"Turkey","NOT KNOWN"
"United Arab Emirates","NOT KNOWN"
"United Kingdom","10"
"United States","50"
"Uruguay","7"
"Venezuela","NOT KNOWN"
"Yemen","NOT KNOWN"
"Zambia","20"
"Zimbabwe","NOT KNOWN"
