"Country","% Urinary"
"Albania","5"
"Algeria","17"
"Argentina","45"
"Armenia","NOT KNOWN"
"Australia","NOT KNOWN"
"Austria","NOT KNOWN"
"Bahrain","NOT KNOWN"
"Bangladesh","NOT KNOWN"
"Belgium","2"
"Bolivia","1"
"Bosnia and Herzegovina","28"
"Brazil","NOT KNOWN"
"Bulgaria","NOT KNOWN"
"Cameroon","10"
"Canada","5"
"China","10"
"Colombia","2.8"
"Costa Rica","60"
"Cote d'Ivoire","NOT KNOWN"
"Cuba","NOT KNOWN"
"Croatia","22"
"Cyprus","1"
"Czech Republic","NOT KNOWN"
"Democratic Republic of the Congo","66.6"
"Denmark","2"
"Dominican Republic","NOT KNOWN"
"Ecuador","NOT KNOWN"
"Egypt","44"
"Estonia","NOT KNOWN"
"Ethiopia","NOT KNOWN"
"Finland","NOT KNOWN"
"France","5"
"Germany","50.4"
"Ghana","5"
"Greece","87"
"Guatemala","10"
"Guinea","45"
"Hungary","22"
"Iceland","2"
"India","11"
"Indonesia","5"
"Iran","3"
"Iraq","NOT KNOWN"
"Ireland","2"
"Israel","NOT KNOWN"
"Italy","4"
"Japan","50"
"Jordan","5"
"Kenya","NOT KNOWN"
"Kuwait","35"
"Latvia","NOT KNOWN"
"Lebanon","2"
"Libya","35"
"Liechtenstein","20"
"Lithuania","80"
"Luxembourg","NOT KNOWN"
"Malawi","NOT KNOWN"
"Malaysia","NOT KNOWN"
"Malta","NOT KNOWN"
"Mexico","NOT KNOWN"
"Moldova","NOT KNOWN"
"Mongolia","38"
"Montenegro","20"
"Morocco","15"
"Myanmar","35"
"Netherlands","2"
"Nicaragua","5"
"New Zealand","NOT KNOWN"
"Nigeria","50"
"Norway","1"
"Oman","30"
"Pakistan","15"
"Palestinian Authority","40"
"Panama","NOT KNOWN"
"Paraguay","50"
"Peru","4"
"Poland","NOT KNOWN"
"Portugal","10"
"Qatar","NOT KNOWN"
"Republic of Korea","30"
"Romania","2"
"Russia","40"
"San Marino","NOT KNOWN"
"Saudi Arabia","5"
"Serbia","12"
"Singapore","2"
"Slovenia","60"
"South Africa","10"
"Spain","NOT KNOWN"
"Sri Lanka",""
"Sweden","NOT KNOWN"
"Switzerland","60"
"Taiwan","55.8"
"Thailand","18"
"Macedonia","80"
"Tunisia","NOT KNOWN"
"Turkey","7.3"
"United Arab Emirates","NOT KNOWN"
"United Kingdom","10"
"United States","60"
"Uruguay","25"
"Venezuela","34"
"Yemen","NOT KNOWN"
"Zambia","30"
"Zimbabwe","NOT KNOWN"
